,astro1,astro2,astro3,reactive1,reactive2,reactive3
Hist2h2be,7.07363285728525,7.063133149808,7.12636738409916,2.75675767479692,5.72812122323757,3.79429718293226
Ppargc1a,6.80167790069844,6.91133446253593,6.02997165546241,4.45743259323757,6.32943680442209,1.99808351608563
Cc2d2a,7.07392733144008,7.75179074717558,7.73801520596313,4.35507629719631,6.31913039593517,3.19162284501314
Aard,4.15491383721405,4.2528205097461,3.15272328750469,7.37670855831056,7.03216771881559,3.1538098096021
Prnp,11.5608405741008,11.1443824631795,10.5683061946787,7.82536605794749,8.27168851128064,7.20119626117496
Slc4a4,9.39799476752932,8.91754754223194,9.44545414567135,5.66701340187599,7.98956550128716,5.24617681023231
Fam189a1,8.13305825086086,7.90887618150428,8.58420043433301,6.96572662640728,7.57961351525511,3.43587932911264
Soga3,7.64024547053865,5.747757781847,7.15857044042779,3.73456051561017,3.55812962068459,3.56955245245574
Btbd11,7.114531172723,7.28472163823944,7.61015230148717,7.63183393604869,5.16114399139742,2.95888773268142
Cks1b|Cks1brt,6.74337461468077,5.69053551714844,5.82886857054783,7.35549508715138,8.50336382416822,10.6446321458973
2810417H13Rik,3.28194327459081,3.88299180086569,3.41021117611971,6.4725356676975,7.32620373098654,6.86686730906493
Ssbp2,8.88901994399269,8.45254682952375,8.48277137768238,8.40655172254549,5.81292755135141,4.31993852457069
Gpr137b-ps|Gpr137b,4.06579556575384,3.93888553697179,3.52001572859168,3.80321474547335,6.13218305784371,8.25365125130386
Adgrl2,5.52276774106623,6.63868354220521,6.72142409423708,2.79897288919867,6.97878766055971,3.17385514973869
Mia3,6.19356627557643,5.654091720152,7.36497346483282,5.26892186632777,2.65792021390538,2.89528195274459
Ppp1r3g,7.79086036807617,6.95527187581018,7.41466002377295,4.53550698896368,7.60253939438679,3.35409564545373
Kdm5b,7.54032284759354,7.83102543535913,7.49031024599983,3.86070280602089,4.93011121246519,4.08496813129137
Slc7a10,8.82510052118613,8.60061938083082,7.53304528587628,5.07891873078036,4.55644463563428,5.59822721803258
Serinc1,7.36212088135772,8.98171517406407,6.18290873017627,4.89553510046932,3.70537008524349,6.74565130799671
Adcy7,6.41148854253175,5.33009337821703,5.97921811907335,9.36499168985704,7.06013731491992,9.83157830520865
Smpdl3a,9.20590577433327,8.73216593916418,7.01114401556073,5.62172957522149,4.54263095954487,5.78843473707887
Pgr,8.45783600634003,8.1063238070788,8.54643401538724,8.98209057539348,8.12576830078319,3.98955478680353
Plce1,5.12413564593513,3.87364779684093,5.10069333826475,4.25264783127781,7.74413650019058,8.29792571589086
Mrpl50,4.80618439466067,3.78484367244889,3.47339898180964,8.10278418116854,6.84759885112433,6.46490339888095
Hba-a1|Hba-a2,9.14672635015596,9.97731935068654,9.69822351701578,10.9369812030207,10.3076032906605,14.2801787067236
Gm11627,8.39057825038993,8.1279171318907,8.33744325677692,6.89105162550412,7.08210170151108,3.55140097656125
H2-L|H2-D1,5.53941338728365,6.21312687918979,5.98689911152046,8.42606752522565,9.24134331154938,9.78158099955357
Appl2,10.8113965293577,10.4700862056389,10.1901582451479,6.75541363076097,8.29504524041345,6.90332718189708
Plac8,3.58316045766977,4.13472625059126,3.95357016587337,7.36506196445943,7.11932697050886,7.14279961981892
Hivep2,7.44109765257679,7.43539364592983,7.02121795628929,5.44245630906818,6.47354979212874,2.68386668340727
Ubr2,7.82409403540712,8.61430229225561,7.61086331497891,4.91569333520385,4.67242082815091,4.65160080091718
Itm2a,3.93486882296272,5.2923485539951,4.46773441412726,7.39820374464156,6.27538594585784,8.7371185554527
Bclaf1,6.34703124521396,8.09885338113607,6.87748871027737,4.59598350246975,3.44935672518769,3.99717609719227
Syngr1,7.23956442399736,4.74766323541731,5.0677426872301,7.6105796241751,7.92711808476642,9.55471432766465
Cth,6.49387227224993,6.25276935213241,7.0345871916349,3.59397544313804,4.34094327362132,2.51200405282773
Gria2,7.86284653422033,8.70397339639999,7.41559058054011,5.18039546044185,5.92341594244797,3.87196223313922
Tgm2,7.17704207377509,7.18856240638587,5.94808003432944,7.29480674187051,8.68958154006617,11.1672217057324
Csf2rb,3.12804440428534,4.37209807265835,4.14482911319265,5.96928190027676,6.20092208315957,8.18199886503893
Zfp329,5.79967065726869,7.08457694449647,6.05398781460552,3.34132483469857,2.24433382478885,5.16350797486498
Ccl4,6.50409220953637,6.60113849239602,7.27773391487169,9.78630260221722,10.8812492184331,8.93276647051436
Vps33a,7.28860623389132,6.53707267525146,6.80908788298254,3.43475647540011,5.57525788744225,3.0150355737755
Cyp2d22,7.96771545995654,7.70114460548394,7.55523755235592,6.67853321793165,3.43068213345545,4.98532173879525
Aph1b,7.85843059569828,6.86072496907994,5.94380340978695,4.40020252300352,3.35601090998724,3.75186590893595
Add3,8.7313887380854,7.33225463205547,8.21298773539377,5.02537606649499,6.16889072592799,4.15255548500948
Saa3,3.85963541825225,4.14497048794557,4.60328713056331,8.37861708960164,6.69473379426844,6.78269092284863
Endod1,5.40258048028497,6.23513326575262,4.15741871596091,1.58588623047482,4.11757668120975,6.47228238596438
Gins1,4.26663599961236,3.08625740115642,5.47010032729091,3.56298193862214,4.13999835698252,8.0650352520207
Fam135a,6.11108388276566,6.15936173873824,5.90250020144915,7.41238794447746,3.3601748047295,2.79872314646364
Btf3l4,6.3429699796199,4.46158144927107,3.5628565849787,7.80957532812695,5.4396257314319,2.99737675615983
H2-D1|H2-K1,5.59194180358289,7.35294791681037,6.36264533473982,8.30632644592891,9.84630554259137,9.96117535133318
Cklf,3.92426479668263,4.24431975011368,2.94553910256877,6.07229812381192,4.0169141369499,7.8672611739551
Maob,8.38330488023393,5.35394116748001,5.95841008199004,6.20211977542823,7.52780530211014,3.24104659252121
Cxcl16,3.48627091855894,3.87867731470508,3.6185142387223,4.89125093998526,6.60011658054762,7.82432142881648
Epha5,5.99395070565241,7.04761561777414,5.8021168506305,3.18854306566535,7.37412807168322,3.40403012075089
Anxa2,4.49042405828314,4.7120346346179,4.3617168062482,5.48402103716944,7.31419128001447,8.73327155303531
Rbsn,5.63462721206048,5.0968209436033,6.41310022146368,3.8219824356942,1.62055703501252,3.00995624624161
Wapal,5.99302794263702,7.75761972683127,6.7886015633443,2.95871227436607,6.77026680441605,7.74572628942653
Pcnp,7.7182627557777,7.32823358200449,8.13444298076216,5.90850513086353,6.67025329793843,3.2406869436975
Aif1,5.81122501207164,5.34421096258352,4.57851408554894,7.74631402912957,8.47278598076464,8.80005797628653
Zc3h15,7.77806292578488,7.67844884176923,7.39037473362624,3.34737495423517,6.07746426213567,4.98655135810117
Qrsl1,7.02830784570364,7.18408092226836,4.69385096809711,2.77360743743425,5.61326781347686,7.17368427811197
Nudt4,8.45154711827473,7.03927266198618,7.90647253232847,7.1749710651281,8.55026747135339,3.76323488354571
Zbtb20,8.34270641207848,8.44968240930475,8.5078746294014,4.69175187843565,6.15175331754955,5.12814827347893
Tia1,6.15862010881526,7.02133226128518,6.05850454903438,2.9823265393748,3.98308860263987,7.4934293211519
Cxcl1,5.23119803547683,5.37209145469841,5.5157007192767,8.7917738158736,8.68621996410651,8.24573810667985
Exosc7,7.78636308023826,4.44651486681489,7.15031315801787,6.06876731443342,8.77045527403366,4.51587325957123
Klhl28,7.74625731801842,7.39542036792727,7.32496413314128,9.10520243149908,5.84131419165914,4.00214599610584
Mcm5,4.81699448192741,6.5129450610471,5.36088200475828,3.61013428424729,4.64262434495335,8.62377917751355
Ccrn4l,5.43676603563391,5.39011443298208,3.11389697107867,7.31816968546047,5.82938868453803,8.19251513236619
Acvr1,5.14134360472235,3.46027618097942,2.74557706521931,6.8472602667187,5.34483900422557,7.13807951859828
C3ar1,3.34866595798448,3.57246748841108,3.30668197978685,7.10436334438205,5.92112952524315,6.60564681525201
Gusb,4.51088451913416,4.12028686041566,3.69692914731351,2.48128511825944,5.9447434978872,7.4582072108442
Npl,5.72897496213467,5.34206951475497,4.5602383562779,7.2869745045693,6.99835157255787,9.48408730772835
Rora,7.07966968080279,6.13604965989066,4.39931175309582,3.44090094101267,2.74097838055783,3.14882442856039
Ntsr2,11.8504226496252,11.0754888280183,10.6210019277986,8.77044533175319,8.54043977091348,7.29368865508844
Cldn5,3.81739786282891,4.6304174041655,4.41760382565907,4.6897653958519,4.5792195343672,8.64287095648157
Agfg2,4.92193186690504,6.33290558556143,7.15352000888232,3.02396152859909,3.50308861489204,3.18503620020326
Nlk,8.23343048815156,8.56891781711434,5.84284473665026,5.8095670290714,5.19742927540674,4.13197236400496
Adssl1,4.57967483398187,3.53793451719393,3.92077442931847,4.4421044540439,5.6653437097434,8.32484557155567
Ednrb,7.62475693285301,7.01419848973692,7.41844333985782,3.91280523301021,4.52386344247709,4.18820346863834
Acta2,4.59512978580386,3.73074657490304,4.68245522716135,4.72309448173224,4.65311483028924,8.64177033332316
Pla2g7,8.96442267390881,8.12449419978395,8.98509195761837,7.52717141574454,5.40638233622633,5.01149235094008
Rnf128,3.65255136546489,4.12869446815206,3.2764079603325,6.73998249171776,4.59662182423219,7.52471565821114
Kmt2e,8.68857171351405,8.48537316913826,8.46054826459442,5.57207124955902,5.390158375877,5.18674862425989
Rmi1,5.390158375877,4.76969591251166,4.96150686434088,2.06090799191878,4.31212382112215,7.4429983297449
Tmtc2,6.54996689890693,8.56452626341071,7.77855978570875,4.51846268179307,4.30319068751875,5.52596673143831
Mkrn1,6.03889712637465,4.62344008647781,4.37252312729131,6.44337974574802,4.95161563798957,9.04700952102269
Hal,3.13044414243744,2.85010397911597,3.61507983056617,5.0886237905013,4.15853307069211,7.54767374530788
Bzw1,6.29209083904179,7.21451842195142,3.71983910064738,3.74870136629079,4.85416626498332,7.70057969633882
Pdgfrb,7.61168696064249,8.85816710212324,7.43472568757411,3.80981191621628,7.09982953733997,5.99968010323384
Rad23b,4.48803498702889,3.87844684229585,5.95911370029366,2.13693574721909,4.50918859157999,7.16065795191405
Isg15,3.75870768858737,4.27385798975334,4.27385798975334,7.24128371060483,7.86213933639461,6.06292688345438
